"REINA BEATRIX INTL","TNCA","12.501389:-70.015221"
"ESTANCIA DON PANOS","SA","-26.295928:-59.535311"
"CAMPO ARENAL","SA","-27.072283:-66.586100"
"TERMAL","SARS","-26.756519:-60.493103"
"USHUAIA MALVINAS ARGENTINAS","SAWH","-54.843278:-68.295750"
"VALLE DEL CONLARA","SAOS","-32.384669:-65.186522"
"CURUZU CUATIA","SATU","-29.770555:-57.978889"
"QUEMU QUEMU","SA","-36.058717:-63.631281"
"ESTANCIA LA ESTRELLA","SA","-37.559422:-58.666006"
"MIRAMAR","SA","-38.227055:-57.869720"
"EL CALAFATE","SAWC","-50.280322:-72.053103"
"PERITO MORENO","SAWP","-46.537911:-70.978689"
"EL PORTON","SA","-37.194983:-69.609469"
"SANTA RITA","SA","-35.828333:-60.146667"
"CAFAYATE","SA","-26.056072:-65.936867"
"OLAVARRIA","SAZF","-36.890039:-60.216619"
"BOLIVAR","SAZI","-36.186594:-61.076367"
"LA PUNTILLA","SA","-32.962814:-68.873706"
"LA QUIACA","SASQ","-22.150556:-65.577500"
"SANTA TERESITA","SAZL","-36.542317:-56.721756"
"CHOS MALAL","SAHC","-37.444692:-70.222469"
"GENERAL ROCA","SAHR","-39.000672:-67.620514"
"GENERAL URQUIZA","SAAP","-31.794778:-60.480361"
"TINOGASTA","SANI","-28.037750:-67.580314"
"JUJUY","SASJ","-24.392778:-65.097778"
"RIO CUARTO AEROCLUB","SA","-33.160583:-64.338192"
"RECONQUISTA","SATR","-29.210278:-59.680000"
"LONCOPUE","SA","-38.082778:-70.667778"
"JUNIN","SAAJ","-34.545889:-60.930556"
"CHAMICAL","SACT","-30.345278:-66.293610"
"COMODORO PIERRESTEGUI","SAAC","-31.296944:-57.996631"
"EL PLUMERILLO","SAME","-32.831717:-68.792856"
"EL TEHUELCHE","SAVY","-42.759161:-65.102725"
"CORONEL SUAREZ","SAZC","-37.446111:-61.889297"
"VILLA REYNOLDS","SAOR","-33.729942:-65.387419"
"RIO GRANDE","SAWE","-53.777667:-67.749389"
"LOMA LA LATA","SA","-38.413778:-68.737306"
"AMBROSIO L V TARAVELLA","SACO","-31.323619:-64.207953"
"GOBERNADOR CASTELLO","SAVV","-40.869222:-63.000389"
"VEINTICINCO DE MAYO","SA","-37.809786:-67.659339"
"SAN JUAN","SANU","-31.571472:-68.418194"
"SANTA VICTORIA","SA","-22.285742:-62.713728"
"MORON","SADM","-34.676317:-58.642756"
"APOSTOLES","SA","-27.903242:-55.765514"
"CALILEGUA","SA","-23.781867:-64.749533"
"ALMIRANTE ZAR","SAVT","-43.210500:-65.270319"
"CANADON SECO","SA","-46.539031:-67.563850"
"BELLA VISTA","SA","-28.526222:-59.038528"
"CAP D OMAR DARIO GERARDI","SACA","-31.441925:-64.258225"
"RIO GALLEGOS","SAWG","-51.608875:-69.312636"
"MAR DEL PLATA","SAZM","-37.934167:-57.573333"
"FORMOSA","SARF","-26.212722:-58.228111"
"COMANDANTE ESPORA","SAZB","-38.724967:-62.169317"
"COMODORO P ZANNI","SAZP","-35.844592:-61.857553"
"CUTRALCO","SAZW","-38.939683:-69.264642"
"GENERAL ENRIQUE MOSCONI TARTAGAL","SAST","-22.619647:-63.793672"
"TANDIL","SAZT","-37.237392:-59.227922"
"RIO CUARTO AREA DE MATERIAL","SAOC","-33.085128:-64.261314"
"MONTE CASEROS","SARM","-30.271922:-57.640231"
"NECOCHEA","SAZO","-38.483056:-58.817222"
"AVIADOR C CAMPOS","SAZY","-40.075383:-71.137294"
"NANCO LAUQUEN","SA","-35.971486:-62.772419"
"CHOELE CHOEL","SA","-39.286422:-65.610325"
"COLONIA CATRIEL","SA","-37.910183:-67.834969"
