"REINA BEATRIX INTL","TNCA","12.501389:-70.015221"
"RETALHULEU","MGRT","14.521017:-91.697256"
"COBAN","MGCB","15.468958:-90.406742"
"MUNDO MAYA INTL","MGTK","16.913819:-89.866383"
"SAN JOSE","MGSJ","13.936192:-90.835833"
"FARANAH","GUFH","10.035467:-10.769825"
"LABE","GULB","11.326058:-12.286850"
"CONAKRY","GUCY","9.576889:-13.611961"
"FRIA","GUFA","10.350556:-13.569167"
"LINDEN","SYLD","5.965922:-58.270336"
"LETHEM","SYLT","3.372761:-59.789439"
"CHEDDI JAGAN INTL","SYCJ","6.498553:-58.254119"
"TOUSSAINT LOUVERTURE INTL","MTPP","18.580050:-72.292542"
"CAYES","MTCA","18.271103:-73.788289"
"CAP HAITIEN INTL","MTCH","19.732989:-72.194739"
"JACMEL","MTJA","18.241083:-72.518500"
"SEK KONG","VHSK","22.436592:114.080397"
"HONG KONG INTL","VHHH","22.308919:113.914603"
"LA MESA INTL","MHLM","15.452639:-87.923556"
"JUAN MANUEL GALVEZ INTL","MHRO","16.316814:-86.522961"
"TELA","MHTE","15.775864:-87.475847"
"CORONEL ENRIQUE SOTO CANO AB","MHSC","14.382369:-87.621161"
"GUANAJA","MHNJ","16.445367:-85.906611"
"GOLOSON INTL","MHLC","15.742481:-86.853036"
"TRUJILLO","MHTJ","15.926847:-85.938250"
"TONCONTIN INTL","MHTG","14.060883:-87.217197"
"BRAC","LDSB","43.285719:16.679719"
"RIJEKA","LDRI","45.216889:14.570267"
"DUBROVNIK","LDDU","42.561353:18.268244"
"ZADAR","LDZD","44.108269:15.346697"
"ZAGREB","LDZA","45.742931:16.068778"
"PULA","LDPL","44.893533:13.922192"
"GROBNICKO POLJE","LDRG","45.379483:14.503756"
"UDBINA","LDZU","44.557610:15.774361"
"SPLIT","LDSP","43.538944:16.297964"
"VARAZDIN","LDVA","46.294724:16.381250"
"CEPIN","LDOC","45.542169:18.636233"
"OSIJEK","LDOS","45.462667:18.810156"
"SEPURINE TRAINING BASE","LD","44.210042:15.163200"
"PLOCE","LDDP","43.038686:17.429647"
"GYOR PER","LHPR","47.627097:17.808347"
"NYIREGYHAZA","LHNY","47.983892:21.692317"
"FERTOSZENTMIKLOS","LHFM","47.582831:16.845417"
"OCSENY","LHOY","46.303889:18.769167"
"CSAKVAR","LH","47.350894:18.430014"
"PECS SOUTH","LHPP","45.990928:18.240983"
"DEBRECEN","LHDC","47.488917:21.615333"
"FERIHEGY","LHBP","47.436933:19.255592"
"BALATON","LHSM","46.686389:17.159056"
"SZENTKIRALYSZABADJA","LHSA","47.077861:17.968444"
"KECSKEMET","LHKE","46.917500:19.749222"
"SZOLNOK","LHSN","47.122861:20.235500"
"THORSHOFN","BITN","66.218453:-15.335625"
"REYKJAVIK","BIRK","64.130000:-21.940556"
"KEFLAVIK NAS","BIKF","63.985000:-22.605556"
"AKUREYRI","BIAR","65.659994:-18.072703"
"ISAFJORDUR","BIIS","66.058056:-23.135278"
"EGILSSTADIR","BIEG","65.283333:-14.401389"
"VESTMANNAEYJAR","BIVM","63.424303:-20.278875"
"HORNAFJORDUR","BIHN","64.295556:-15.227222"
"BILDUDALUR","BIBD","65.641331:-23.546169"
"HUSAVIK","BIHU","65.952328:-17.425978"
"SIGLUFJORDUR","BISI","66.133333:-18.916667"
"PATREKSFJORDUR","BIPA","65.555833:-23.965000"
"FAK FAK","WASF","-2.920192:132.267031"
"PASIR PANGARAAN","WIDE","0.845431:100.370292"
"DOMINIQUE EDWARD OSOK","WA","-0.895178:131.285442"
"SOROAKO","WAWS","-2.531203:121.357639"
"BUBUNG","WAMW","-1.038919:122.771906"
"TEMINDUNG","WALS","-0.484531:117.157111"
"KASIGUNCU","WAMP","-1.416753:120.657669"
"ANDI JEMMA","WAWM","-2.558044:120.324383"
"PONGTIKU","WAWT","-3.044736:119.821536"
"NANGA PINOH I","WIOG","-0.348869:111.747606"
"MANGKAJANG","WALX","2.007514:117.749019"
"TUNGGUL WULUNG","WIHL","-7.645056:109.033911"
"GADING WONOSARI","WI","-7.916594:110.564289"
"NUSAWIRU","WI","-7.720389:108.489940"
"BATUJAJAR","WI","-6.903856:107.475856"
"BETOAMBARI","WAWB","-5.486875:122.569047"
"ARU","WA","-6.573422:134.147058"
"MALI","WATM","-8.132336:124.597014"
"H HASAN AROEBOESMAN","WATE","-8.849294:121.660644"
"BANDING AGUNG","WIPD","-4.787025:103.933086"
"RUMPIN","WI","-6.373219:106.622336"
"SULTAN ISKANDARMUDA","WITT","5.523522:95.420372"
"KOBOK","WA","1.101892:127.702994"
"MARANGGO","WA","-5.764572:123.916656"
"SIMPANGTIGA REDELONG","WI","4.720883:96.851239"
"MEKAR PUTIH","WAOH","-3.989911:116.101781"
"MINANGKABAU","WIPT","-0.786917:100.280797"
"SILANGIT","WIMN","2.259731:98.991850"
"BINAKA","WIMB","1.166381:97.704681"
"PAGERUNGAN","WA","-6.956608:115.931239"
"RENDANI","WASR","-0.891833:134.049183"
"SYAMSUDIN NOOR","WAOO","-3.442356:114.762553"
"SULTAN BABULLAH","WAMT","0.831414:127.381486"
"MUARA BADAK PUJANGAN","WALQ","-0.306075:117.415683"
"NANGASURI","WAPK","-6.066200:134.273928"
"SAM RATULANGI","WAMM","1.549256:124.926419"
"TJILIK RIWUT","WAOP","-2.225128:113.942661"
"HANG NADIM","WIDD","1.121028:104.118753"
"ABDUL RACHMAN SALEH","WARA","-7.926556:112.714514"
"H AS HANANDJOEDDIN","WIOD","-2.745722:107.754917"
"NABIRE","WABI","-3.368183:135.496406"
"LHOK SUKON","WITL","5.069506:97.259192"
"MUTIARA II","WATO","-8.486656:119.889050"
"GATOT SUBRATO","WIPO","-4.391767:104.401358"
"DR FERDINAND LUMBAN TOBING","WIMS","1.555944:98.888908"
"JAPURA","WIPR","-0.352808:102.334917"
"BALI INTL","WADD","-8.748169:115.167172"
"PENDOPO","WIPQ","-3.286069:103.879600"
"MUHAMMAD SALAHUDDIN","WADB","-8.539647:118.687322"
"TAMBOLAKA","WADT","-9.409717:119.244494"
"EL TARI","WATT","-10.171583:123.671136"
"TAREMPA","WIOM","3.348119:106.258050"
"KIJANG","WIDN","0.922683:104.532311"
"MAIMUN SALEH","WITB","5.874131:95.339672"
"SATAR TACIK","WATG","-8.597011:120.477061"
"NAHA","WAMH","3.683214:125.528019"
"SOEKARNO HATTA INTL","WIII","-6.125567:106.655897"
"WARUKIN","WAON","-2.216556:115.436333"
"HUSEIN SASTRANEGARA","WICC","-6.900625:107.576294"
"RANAI","WION","3.908714:108.387897"
"SENTANI","WAJJ","-2.576953:140.516372"
"MOPAH","WAKK","-8.520294:140.418453"
"MAU HAU","WADW","-9.669217:120.302006"
"DUMATUBIN","WAPL","-5.661619:132.731431"
"TABING","WIMG","-0.874989:100.351881"
"PENGGUNG","WICD","-6.756144:108.539672"
"ADI SUTJIPTO","WARJ","-7.788181:110.431758"
"SUMBAWA BESAR","WADS","-8.489039:117.412119"
"WOLTER MONGINSIDI","WAWW","-4.081608:122.418231"
"POLONIA","WIMM","3.558056:98.671722"
"SULTAN SYARIF KASIM II","WIBB","0.460786:101.444539"
"FRANS KAISIEPO","WABB","-1.190017:136.107997"
"DABO","WIDS","-0.479189:104.579283"
"JUWATA","WALR","3.326694:117.565569"
"ISWAHYUDI","WARI","-7.615767:111.434117"
"MALIKUS SALEH","WITM","5.226681:96.950342"
"TANJUNG SANTAN","WALT","-0.093215:117.439292"
"RADIN INTEN II","WICT","-5.242339:105.178939"
"PONDOK CABE","WIHP","-6.336964:106.764561"
"BUNYU","WALV","3.455725:117.867372"
"ACHMAD YANI","WARS","-6.972728:110.375364"
"PINANG KAMPAI","WIBD","1.609194:101.433558"
"HALIM PERDANAKUSUMA INTL","WIHH","-6.266608:106.891117"
"FATMAWATI SOEKARNO","WIPL","-3.863700:102.339036"
"BATU LICIN","WAOC","-3.412408:115.995136"
"SUSILO","WIOS","0.063619:111.473428"
"CIBEUREUM","WICM","-7.346603:108.246092"
"JALALUDDIN","WAMG","0.637119:122.849858"
"SULTAN THAHA","WIPA","-1.638017:103.644378"
"MOSES KILANGIN","WABP","-4.528275:136.887375"
"SEPINGGAN","WALL","-1.268272:116.894478"
"PATTIMURA","WAPP","-3.710264:128.089136"
"PANGSUMA","WIOP","0.835578:112.937144"
"WAMENA","WAJW","-4.102511:138.957372"
"SULTAN MAHMUD BADARUDDIN II","WIPP","-2.898250:104.699903"
"RAHADI USMAN","WIOK","-1.816639:109.963483"
"HASAN","WAOS","-2.499194:112.974992"
"DEPATI AMIR","WIPK","-2.162200:106.139064"
"ISKANDAR","WAOI","-2.705197:111.673208"
"JUANDA","WARR","-7.379831:112.786858"
"WAI OTI","WATC","-8.640647:122.236889"
"JEFMAN","WASS","-0.926358:131.121194"
"ADI SUMARMO WIRYOKUSUMO","WARQ","-7.516089:110.756892"
"SELAPARANG","WADA","-8.560708:116.094656"
"HASANUDDIN","WAAA","-5.061631:119.554042"
"BUDIARTO","WICB","-6.293169:106.569900"
"SUPADIO","WIOO","-0.150711:109.403892"
"MUTIARA","WAML","-0.918542:119.909642"
"KALIMARU","WALK","2.155497:117.432256"
"TANJUNG HARAPAN","WALG","2.836406:117.373675"
"PITU","WAMR","2.045992:128.324708"
"AEK GODANG","WIME","1.400103:99.430453"
"KORNASOREN","WA","-0.936325:134.871889"
"KAIMANA","WASK","-3.644517:133.695553"
"BABO","WASO","-2.532242:133.438894"
"ISLE OF MAN","EGNS","54.083333:-4.623889"
"AGATTI","VOAT","10.823656:72.176042"
"LENGPUI","VELP","23.840592:92.619747"
"HUBLI","VAHB","15.361706:75.084856"
"COCHIN INTL","VOCI","10.151994:76.401906"
"BELLARY","VOBI","15.162783:76.882775"
"BENTAYAN","VE","23.095058:75.885275"
"BELGAUM","VABM","15.859286:74.618292"
"GUWAHATI INTL","VEGT","26.106092:91.585939"
"PHALODI","VA","27.112950:72.389025"
"MEERUT SW","VA","28.904917:77.677317"
"SULUR","VOSX","11.013567:77.159697"
"PONDICHERRY","VOPC","11.968722:79.810058"
"SATNA","VIST","24.562319:80.854933"
"JALLOWAL","VI","31.559983:75.341322"
"COOCH BEHAR","VECO","26.330508:89.467203"
"AMBALA","VIAM","30.368147:76.816664"
"RAJKOT","VARK","22.309183:70.779525"
"KANDLA","VAKE","23.112719:70.100289"
"TAMBARAM","VOTX","12.907214:80.121861"
"RAIPUR","VARP","21.180406:81.738753"
"VISHAKHAPATNAM","VEVZ","17.721167:83.224483"
"CHENNAI INTL","VOMM","12.994414:80.180517"
"AGARTALA","VEAT","23.886978:91.240450"
"ALONG","VEAN","28.175317:94.802036"
"CHANDA","VA","19.994672:79.222494"
"NASIK ROAD","VANR","19.963739:73.807644"
"BAKSHI KA TALAB","VIBL","26.988339:80.893117"
"ADAMPUR","VIAX","31.433758:75.758825"
"GAYA","VEGY","24.744308:84.951175"
"JAISALMER","VIJR","26.888653:70.864967"
"BHILWARA","VI","28.077072:76.204969"
"LILABARI","VELR","27.295494:94.097650"
"SILCHAR","VEKU","24.912928:92.978742"
"DIMAPUR","VEMR","25.883906:93.771144"
"BIRLAGRAM","VA","23.446925:75.420294"
"JABALPUR","VAJB","23.177817:80.052047"
"GWALIOR","VIGR","26.293336:78.227753"
"ZERO","VEZO","27.588283:93.828061"
"BHUBANESHWAR","VEBS","20.244364:85.817781"
"PANTNAGAR","VIPT","29.033408:79.473744"
"NAWAPARA","VENP","20.870036:82.519553"
"LUCKNOW","VILK","26.760594:80.889339"
"DHANBAD","VEDB","23.834044:86.425261"
"SURAT","VASU","21.114061:72.741792"
"TANJORE","VOTJ","10.722428:79.101567"
"ROURKELA","VERK","22.256650:84.814567"
"BIDAR","VOBR","17.908081:77.487142"
"BURNPUR","VE","23.631453:86.975511"
"BAREILLY","VIBY","28.422061:79.450842"
"CALICUT","VOCL","11.136839:75.955300"
"SOOKERATING","VE","27.552861:95.570650"
"HALWARA","VIHX","30.748533:75.629786"
"HYDERABAD","VOHY","17.453117:78.467586"
"MANGALORE","VOML","12.961267:74.890069"
"DEVI AHILYABAI HOLKAR","VAID","22.721786:75.801086"
"AMRITSAR","VIAR","31.709594:74.797264"
"KOVILPATTI","VO","9.153892:77.821172"
"NAL","VIBK","28.070606:73.207161"
"MUIRPUR","VA","24.125153:83.040592"
"HAKIMPET","VOHK","17.553492:78.524900"
"BAGDOGRA","VEBD","26.681206:88.328567"
"PURNEA","VEPU","25.759594:87.410011"
"NETAJI SUBHASH CHANDRA BOSE INTL","VECC","22.654739:88.446722"
"SHIMLA","VISM","31.081803:77.067967"
"AKOLA","VAAK","20.699006:77.058628"
"FURSATGANJ","VIRB","26.248489:81.380506"
"SIRSA","VISA","29.560581:75.006075"
"DIBRUGARH","VEMN","27.483853:95.016922"
"KHAJURAHO","VAKJ","24.817197:79.918597"
"KANPUR CHAKERI","VICX","26.404300:80.410119"
"CHABUA","VECA","27.462231:95.117650"
"BHUJ","VABJ","23.287828:69.670147"
"BARRACKPORE","VE","22.780967:88.359222"
"NANDER","VO","19.181992:77.318392"
"KANPUR","VIKA","26.441444:80.364864"
"SARSAWA","VISP","29.993919:77.425311"
"BHILAI","VA","21.294189:81.379475"
"PANAGARH","VEPH","23.474336:87.427508"
"SIDHI","VA","24.402344:81.814747"
"UTKELA","VEUK","20.097411:83.183797"
"JAIPUR","VIJP","26.824192:75.812161"
"DAMAN","VADN","20.434364:72.843206"
"PATIALA","VIPL","30.314847:76.364469"
"PORBANDAR","VAPR","21.648675:69.657219"
"OZAR","VA","20.119097:73.912919"
"LEH","VILH","34.135872:77.546514"
"NUAGAON","VE","20.511739:83.448064"
"CHORHATA","VA","24.503439:81.220333"
"SIROHI","VA","24.895119:72.845906"
"BHATINDA","VIBT","30.270139:74.755772"
"RATNAGIRI","VARG","17.013625:73.327786"
"PATHANKOT","VIPK","32.233778:75.634628"
"JHARSUGUDA","VEJH","21.913536:84.050383"
"CHANDIGARH","VICG","30.673469:76.788542"
"DEHRADUN","VIDN","30.189689:78.180256"
"HINDON","VIDX","28.707703:77.358911"
"KARNAL","VI","29.714119:77.037533"
"GIRIDIH","VE","24.201906:86.289767"
"DR AMBEDKAR INTL","VANP","21.092192:79.047183"
"GOA","VAGO","15.380833:73.831422"
"JHANSI","VIJN","25.491172:78.558422"
"HIRAKUD","VEHK","21.580231:84.005728"
"BOKARO","VEBK","23.643489:86.148886"
"MADURAI","VOMD","9.834508:78.093378"
"NAGARJUNA SAGAR","VONS","16.542653:79.318714"
"TIRUPATI","VOTP","13.632492:79.543256"
"ALLAHABAD","VIAL","25.440064:81.733872"
"ONDWA","VA","25.141497:74.611453"
"CUDDAPAH","VOCP","14.509961:78.772833"
"BHOPAL","VABP","23.287467:77.337375"
"KAILASHAHAR","VEKR","24.308192:92.007156"
"SURATGARH NEW","VI","29.387775:73.903922"
"RAJAHMUNDRY","VORY","17.110361:81.818208"
"UDHAMPUR","VIUX","32.902189:75.156225"
"LUDHIANA","VILD","30.854681:75.952592"
"CARNICOBAR","VOCX","9.152508:92.819628"
"JAMMU","VIJU","32.689142:74.837389"
"HASHIMARA","VE","26.698283:89.369078"
"JAMSHEDPUR","VEJS","22.813211:86.168844"
"HISSAR","VIHR","29.179444:75.755336"
"JAGDALPUR","VE","19.074328:82.036817"
"YELAHANKA","VOYK","13.135519:77.606031"
"JALGAON","VA","20.962183:75.626678"
"TEJU NEW","VE","27.941225:96.134447"
"UTTARLAI","VIUT","25.812994:71.482286"
"KULLU MANALI","VIBR","31.876706:77.154367"
"AURANGABAD","VAAU","19.862728:75.398114"
"UDAIPUR","VAUD","24.617697:73.896100"
"SAFDARJUNG","VIDD","28.584511:77.205783"
"DHANA","VA","23.753597:78.855753"
"PUNE","VAPO","18.582111:73.919697"
"VARANASI","VIBN","25.452358:82.859342"
"ARKONAM","VOAR","13.071214:79.691192"
"BANSWARA","VA","23.589672:74.312717"
"BHIWANI","VIBW","28.837039:76.179094"
"HARIHAR","VO","14.535064:75.787414"
"DHULIA","VA","20.926483:74.737064"
"AGRA","VIAG","27.155831:77.960892"
"DALTONGANJ","VE","24.019264:84.095100"
"KESHOD","VAKS","21.317069:70.270403"
"BIRSA MUNDA","VERC","23.314250:85.321675"
"MUROD KOND","VO","18.411489:76.464697"
"RAEDHANPUR","VA","23.222350:68.891261"
"GORAKHPUR","VEGK","26.739708:83.449708"
"VIJAYAWADA","VOBZ","16.530433:80.796847"
"THOISE","VI","34.652622:77.375753"
"DUNDIGUL","VODG","17.627178:78.403361"
"BARAPANI","VEBI","25.703642:91.978722"
"AMLA","VA","21.926367:78.113628"
"AHMEDABAD","VAAH","23.077242:72.634650"
"SRINAGAR","VISR","33.987139:74.774250"
"CHHATRAPATI SHIVAJI INTL","VABB","19.088686:72.867919"
"BHAVNAGAR","VABV","21.752206:72.185181"
"KALAIKUNDA","VEDX","22.339508:87.214497"
"BANGALORE","VOBG","12.949986:77.668206"
"JORHAT","VEJT","26.731528:94.175536"
"THIRUVANANTHAPURAM INTL","VOTV","8.482122:76.920114"
"TEZPUR","VETZ","26.709139:92.784739"
"KARAD","VA","17.285856:74.158061"
"SHOLAPUR","VASL","17.627958:75.934842"
"AIZAWL","VEAZ","23.746603:92.802767"
"CUTTACK","VE","20.549619:85.886261"
"JAMNAGAR","VAJM","22.465522:70.012556"
"AWANTIPUR","VIAW","33.876628:74.975681"
"DEESA","VADS","24.267936:72.204433"
"VADODARA","VABO","22.336164:73.226289"
"RAJAORI","VI","33.377897:74.315239"
"INDIRA GANDHI INTL","VIDP","28.566500:77.103088"
"DARBHANGA","VE","26.192786:85.916886"
"PATNA","VEPT","25.591317:85.087992"
"IMPHAL","VEIM","24.759950:93.896697"
"COIMBATORE","VOCB","11.030031:77.043383"
"PORT BLAIR","VOPB","11.641161:92.729744"
"KOTA","VIKO","25.160219:75.845631"
"JODHPUR","VIJO","26.251092:73.048869"
"PITHORGARH","VIDF","29.593639:80.239222"
"COCHIN","VOCC","9.947386:76.273081"
"TIRUCHIRAPPALLI","VOTR","10.765364:78.709722"
"MUZAFFARPUR","VEMZ","26.119089:85.313664"
"KARGIL","VI","34.524272:76.155908"
"FUKCHE","VI","32.937408:79.213236"
"MACHUKA","VE","28.604911:94.123606"
"JHUNJHUNU","VI","28.106728:75.375564"
"PILANI NEW","VI","28.348756:75.593700"
"KALKA","VI","30.821331:76.891750"
"NIMACH","VA","24.430811:74.867836"
"NAGAUR","VI","27.208267:73.711358"
"ABU ROAD","VA","24.494244:72.781519"
"AKBARPUR","VI","26.447567:82.568156"
"KALYANPUR","VI","26.520408:80.232914"
"BAND TAL","VI","26.000078:78.261769"
"GUNA","VAGN","24.654681:77.347347"
"CHAUKAN PASS","VE","27.193567:97.003669"
"GONDIA","VA","21.526217:80.290431"
"BILASPUR","VABI","21.988400:82.110983"
"BURHAR","VA","23.235228:81.503744"
"RATLAM","VA","23.381431:75.025631"
"DIU","VA","20.713125:70.921142"
"KOLHAPUR","VAKP","16.664658:74.289353"
"CAMPBELL BAY","VO","7.013044:93.922822"
"SALEM","VOSM","11.783314:78.065606"
"HOSUR","VO","12.661331:77.767214"
"TUTICORIN SOUTHWEST","VO","8.724236:78.025819"
"THUNIABHAND","VE","22.001639:78.917231"
"SRI SATHYA SAI","VOPN","14.149267:77.791142"
"KANGRA","VIGG","32.165119:76.263417"
"BHARKOT","VI","30.582911:78.323369"
"DIEGO GARCIA NSF","FJDG","-7.313267:72.411089"
"NAJA","OIIM","35.776286:50.881014"
"GHAZVIN AZADI","OIIA","35.952097:50.450778"
"SHAHID VATAN POUR AIR BASE","OIFH","32.567039:51.691594"
"KASHAN","OIFK","33.895333:51.577044"
"YASOUJ","OISY","30.700478:51.545094"
"MAHMUDABAD","OI","29.999992:53.711469"
"ARAK","OIHR","34.138147:49.847292"
"ABADAN","OIAA","30.371111:48.228333"
"ASALOYEH","OIBI","27.481425:52.615483"
"LAMERD","OISR","27.372744:53.188794"
"DAYRESTAN","OIKQ","26.754639:55.902353"
"SIRJAN","OIKY","29.550933:55.672708"
"SARAVAN","OIZS","27.419261:62.315789"
"ILAM","OICI","33.586606:46.404842"
"YAZD SHAHID SADOOGHI","OIYY","31.904908:54.276503"
"SHAHRE  KORD","OIFS","32.297222:50.842222"
"BAM","OIKM","29.084169:58.450042"
"SARAKHS","OIMC","36.501178:61.064903"
"BOJNORD","OIMN","37.492958:57.308219"
"SABZEVAR NATIONAL","OIMS","36.168083:57.595183"
"FIRUZABAD","OI","35.529897:51.505808"
"KHOY","OITK","38.427453:44.973575"
"PERSIAN GULF AIRPORT","OIBP","27.379589:52.737667"
"DOSHAN TAPPEH","OIID","35.702983:51.475131"
"RAMSAR","OINR","36.909908:50.679589"
"HAMADAN","OIHH","34.869167:48.552500"
"LAVAN ISLAND","OIBV","26.810300:53.356289"
"SHAHID ASYAEE","OIAI","32.002372:49.270364"
"JAM","OIBJ","27.820547:52.352175"
"SIRRI ISLAND","OIBS","25.908869:54.539400"
"MAHSHAHR","OIAM","30.556192:49.151879"
"LAR","OISL","27.674725:54.383278"
"HAMADAN MIL","OIHS","35.211642:48.653436"
"BAHREGAN","OI","29.840061:50.272697"
"IRAN SHAHR","OIZI","27.236117:60.720039"
"HAVADARYA","OIKP","27.158251:56.172461"
"NOSHAHR","OINN","36.663333:51.464722"
"JIROFT","OIKJ","28.726925:57.670269"
"SEMNAN NEW","OI","35.389389:53.671417"
"SARI DASHT E NAZ","OINZ","36.635833:53.193611"
"HESA","OIFE","32.928889:51.561111"
"JAHROM","OISJ","28.586675:53.579144"
"KERMAN","OIKK","30.274444:56.951111"
"UROMIYEH","OITR","37.668122:45.068703"
"GACHSARAN","OIAH","30.337567:50.827964"
"BISHE KOLA","OINJ","36.655144:52.349594"
"ZABOL","OIZB","31.098333:61.543889"
"BASTAK","OIBH","27.212678:54.318592"
"BIRJAND","OIMB","32.898056:59.266111"
"KISH ISLAND","OIBK","26.526156:53.980211"
"ARDABIL","OITL","38.325678:48.424356"
"MEHRABAD INTL","OIII","35.689167:51.313416"
"BANDAR ABBASS INTL","OIKB","27.218317:56.377850"
"SAHAND","OITM","37.348017:46.127903"
"AHWAZ","OIAW","31.337431:48.761950"
"DEZFUL","OIAD","32.434444:48.397640"
"ESFAHAN SHAHID BEHESHTI INTL","OIFM","32.750836:51.861267"
"GONBAD GHABUS","OI","37.246094:55.095889"
"KHORAM ABAD","OICK","33.435378:48.282889"
"KHARK ISLAND","OIBQ","29.260278:50.323889"
"TABAS","OIMT","33.667750:56.892675"
"GHAZVIN","OIIK","36.240058:50.047117"
"RASHT","OIGG","37.325314:49.605817"
"ZAHEDAN INTL","OIZH","29.475686:60.906189"
"SHAHID ASHRAFI ESFAHANI","OICC","34.345853:47.158128"
"BANDAR LENGEH","OIBL","26.532000:54.824847"
"KALALEH","OINE","37.383272:55.452008"
"PARSABADE MOGHAN","OITP","39.603606:47.881500"
"BUSHEHR","OIBB","28.944811:50.834637"
"SHAHROUD","OIMJ","36.425278:55.104167"
"CHAH BAHAR","OIZC","25.443350:60.382114"
"PAYAM","OIIP","35.776094:50.826686"
"GARMCAR SW","OI","35.174194:52.323272"
"FASA","OISF","28.891756:53.723339"
"SANANDAJ","OICS","35.245856:47.009247"
"GHALE MORGHI","OIIG","35.644806:51.380695"
"OMIDIYEH","OIAJ","30.835167:49.534916"
"SHIRAZ SHAHID DASTGHAIB INTL","OISS","29.539242:52.589786"
"TABRIZ INTL","OITT","38.133889:46.235000"
"NAIN MILITARY","OI","33.088972:53.417333"
"RAFSANJAN","OIKR","30.297714:56.051139"
"MASHHAD INTL","OIMM","36.235195:59.640972"
"BADR AIR BASE","OIFP","32.621108:51.697017"
"KUSHKE NOSRAT","OIIC","34.983950:50.806219"
"MEHTAR KALATEH","OI","36.856869:54.202247"
"AGHAJARI","OIAG","30.744450:49.677183"
"ABUMUSA ISLAND","OIBA","25.875742:55.032994"
"IMAM KHOMEINI INTL","OIIE","35.416111:51.152222"
"GORGAN","OING","36.909381:54.401339"
"ZANJAN","OITZ","36.773650:48.359422"
"MAHANAIM I BEN YAAKOV","LLIB","32.981047:35.571908"
"PALMAHIM AB","LL","31.897925:34.690769"
"TEYMAN","LLBS","31.287003:34.722953"
"EYN SHEMER","LLES","32.440814:35.007661"
"HATZOR","LLHS","31.762500:34.727222"
"RAMAT DAVID","LLRD","32.665142:35.179458"
"RAMON","LLRM","30.776112:34.666668"
"OVDA","LLOV","29.940250:34.935850"
"HAIFA","LLHA","32.809444:35.043056"
"SDE DOV","LLSD","32.114661:34.782239"
"BEN GURION","LLBG","32.011389:34.886667"
"NIZZANA WEST","LL","30.859444:34.443054"
"HATSERIM NORTHWEST","LL","31.260744:34.640381"
"HATSERIM","LL","31.233358:34.662558"
"NEVATIM AB","LLNV","31.208347:35.012300"
"I BAR YEHUDA","LLMZ","31.328169:35.388608"
"TEL NOV","LLEK","31.839472:34.821844"
"EN YAHAV","LLEY","30.621656:35.203325"
"MEGIDDO","LLMG","32.597292:35.228789"
"EILAT","LLET","29.561281:34.960081"
"YOTVATA","LL","29.906172:35.066650"
"ARAD","LL","31.228619:35.190900"
"ALBENGA","LIMG","44.050608:8.127428"
"FIUMICINO","LIRF","41.804475:12.250797"
"PESCARA","LIBP","42.431656:14.181067"
"DECIMOMANNU","LIED","39.354222:8.972481"
"BRESSO","LIMB","45.542222:9.203333"
"FIRENZE","LIRQ","43.809953:11.205100"
"PALERMO","LICJ","38.175958:13.091019"
"LEVALDIGI","LIMZ","44.547019:7.623217"
"TRAPANI BIRGI","LICT","37.911403:12.487961"
"SIGONELLA","LICZ","37.401664:14.922358"
"PIACENZA","LIMS","44.913055:9.723333"
"AMENDOLA","LIBA","41.541392:15.718083"
"CIAMPINO","LIRA","41.799361:12.594936"
"VICENZA","LIPT","45.573411:11.529550"
"ASIAGO","LIDA","45.886944:11.516945"
"ISTRANA","LIPS","45.684867:12.082881"
"OLBIA COSTA SMERALDA","LIEO","40.898661:9.517628"
"VILLAFRANCA","LIPX","45.395706:10.888533"
"MATTARELLO","LIDT","46.021389:11.124166"
"MARINA DI CAMPO","LIRJ","42.760277:10.239445"
"RIMINI","LIPR","44.020292:12.611747"
"VERONA BOSCOMANTICO","LIPN","45.472017:10.927919"
"VENEGONO","LILN","45.742200:8.888231"
"MALPENSA","LIMC","45.630606:8.728111"
"FALCONARA","LIPY","43.616342:13.362319"
"GHEDI","LIPL","45.432167:10.267667"
"PISA","LIRP","43.683917:10.392750"
"BIELLA CERRIONE","LILE","45.495303:8.102783"
"GRAZZANISE","LIRM","41.060833:14.081944"
"TREVISO","LIPH","45.648400:12.194422"
"BOLZANO","LIPB","46.460194:11.326383"
"GENOVA SESTRI","LIMJ","44.413333:8.837500"
"PRATICA DI MARE","LIRE","41.654522:12.445183"
"RIVOLTO","LIPI","45.978750:13.049331"
"AVIANO AB","LIPA","46.031889:12.596472"
"REGGIO CALABRIA","LICR","38.071206:15.651556"
"ELMAS","LIEE","39.251469:9.054283"
"LAMEZIA TERME","LICA","38.905394:16.242269"
"AERITALIA","LIMA","45.086353:7.603375"
"TORINO","LIMF","45.200761:7.649631"
"PERUGIA","LIRZ","43.095906:12.513222"
"VENEZIA TESSERA","LIPZ","45.505278:12.351944"
"FORLI","LIPK","44.194753:12.070094"
"GINO LISA","LIBF","41.432917:15.535028"
"GROTTAGLIE","LIBG","40.517514:17.403212"
"LAMPEDUSA","LICD","35.497914:12.618083"
"RAVENNA","LIDR","44.364250:12.224864"
"GIOIA DEL COLLE","LIBV","40.767833:16.933333"
"PARMA","LIMP","44.824483:10.296367"
"CAPODICHINO","LIRN","40.886033:14.290781"
"CERVIA","LIPC","44.224175:12.307203"
"BOLOGNA","LIPE","44.535444:11.288667"
